_NAME_,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,loaded,factor,pole
v000176,-0.034551518,-0.078663633,0.0823951303,0.0316202636,0.3015270961,-0.034967822,0.0501203756,0.0681059217,0.0455087273,1,fac5,1
v000177,-0.044713664,0.0084197401,0.0280675934,0.2269658508,0.2088330704,-0.083145311,0.1023718448,0.1180044465,-0.040088161,0,,
v000179,0.0480493066,0.2631739281,0.0289675169,-0.10473174,0.0015816923,0.0333612771,-0.136810981,0.0073051876,-0.056699641,0,,
v000180,0.3910069832,-0.166179891,0.1387039614,-0.265223274,0.0394553875,0.1147136037,-0.1558993,-0.439826073,0.032359177,1,fac8,-1
v000181,-0.047676668,0.1276655837,0.2553560815,-0.198305859,0.0576621614,0.099952068,-0.068304433,0.040109442,-0.096618593,0,,
v000182,0.2033088733,0.0544704006,0.0107630784,0.0269828329,0.0302060263,-0.051699555,-0.128183724,0.0354599782,0.0087791383,0,,
v000183,-0.250105756,0.0853553135,-0.009348894,-0.250152333,0.1224969815,0.1472621753,-0.517124192,0.150252913,-0.044029414,1,fac7,-1
v000184,0.1981649346,-0.008712086,-0.02603036,0.0956455091,0.1680592054,0.0734073037,-0.095200634,0.1104351001,0.0015568603,0,,
v000185,0.0782833393,0.1732917828,-0.135470492,-0.099442528,-0.044495354,-0.064916236,-0.367174458,0.221265606,0.2694702176,1,fac7,-1
v000186,-0.029814868,-0.054758639,-0.050716826,0.0323857133,-0.252394473,0.0592459512,0.3386901702,0.2004966623,0.0267695393,1,fac7,1
v000187,0.1123205766,0.7383545465,-0.075002363,-0.141689334,0.1288920387,-0.001193171,0.0981882794,0.1423275861,0.3044960226,1,fac2,1
v000188,-0.006421079,0.2080979463,-0.140207745,-0.04695149,0.0974773771,-0.043202243,0.1353196354,0.135806222,0.0283607134,0,,
